;Name;Year;Available.Pedigree
309;V0309;2010;NA X NA
310;V0310;2011;V0796 X V1247
311;V0311;1996;NA X V0593
312;V0312;1994;V1274 X V1184
313;V0313;2016;NA X V1012
314;V0314;1915;NA X NA
315;V0315;2009;V0072 X V0983
316;V0316;2019;V0303 X NA
317;V0317;1985;V0053 X NA
318;V0318;1972;V0464 X NA
319;V0319;1977;NA X V0747
320;V0320;2015;NA X NA
321;V0321;1947;V0737 X NA
322;V0322;1968;NA X NA
323;V0323;2018;V0857 X NA
324;V0324;1973;NA X NA
325;V0325;1997;V1163 X V0560
326;V0326;2005;V0464 X NA
327;V0327;1988;NA X NA
328;V0328;1954;V0462 X NA
329;V0329;1965;NA X NA
330;V0330;1910;NA X NA
331;V0331;1934;NA X V1058
332;V0332;1962;NA X V0781
333;V0333;1978;NA X NA
334;V0334;1989;V1220 X V0336
335;V0335;1975;NA X V0930
336;V0336;1969;V0047 X V0797
337;V0337;2002;NA X NA
338;V0338;1999;V0292 X NA
339;V0339;1931;NA X NA
340;V0340;2011;V1193 X NA
341;V0341;1992;V1191 X NA
342;V0342;2015;NA X V1015
343;V0343;1990;V0137 X V0809
344;V0344;1960;NA X NA
345;V0345;2009;V1104 X NA
346;V0346;1994;V0710 X NA
347;V0347;1993;NA X V0752
348;V0348;1897;NA X V0495
349;V0349;1983;NA X NA
350;V0350;1940;V0737 X NA
351;V0351;2002;V1242 X NA
352;V0352;1992;V0722 X V0809
353;V0353;1946;V0753 X NA
354;V0354;1945;V0514 X V0216
355;V0355;1993;V0731 X V1176
356;V0356;1980;NA X V0809
357;V0357;2016;NA X NA
358;V0358;2014;NA X NA
359;V0359;1962;NA X V0039
360;V0360;2001;NA X NA
361;V0361;1983;NA X V0557
362;V0362;2012;V1256 X NA
363;V0363;1899;NA X NA
364;V0364;1987;NA X NA
365;V0365;1968;V1221 X V0386
366;V0366;1995;V1085 X NA
367;V0367;2002;V0731 X V1217
368;V0368;1920;NA X NA
369;V0369;1985;NA X NA
370;V0370;1956;V1138 X V0039
371;V0371;2016;V0355 X NA
372;V0372;2006;V1279 X V1008
373;V0373;2021;NA X NA
374;V0374;2008;NA X NA
375;V0375;2013;V0204 X NA
376;V0376;2006;V0731 X V0305
377;V0377;1850;NA X NA
378;V0378;2010;V0024 X NA
379;V0379;2009;V0317 X NA
380;V0380;2008;V1277 X NA
381;V0381;2021;V0398 X V0804
382;V0382;1999;V0317 X NA
383;V0383;1972;V0611 X NA
384;V0384;1992;V0256 X V0959
385;V0385;2003;V0731 X V1023
386;V0386;1952;V0091 X NA
